id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
611369443768980724,Neat & Tidy Home with Outdoor Entertaining Area,455612017,Stacey,,Angaston,-34.508907,139.043564,Entire home/apt,,1,26,2023-12-29,0.65,1,0,0,
611659077132662185,"Poppy’s Place, Family & pet friendly bungalow.",24432943,Alexandra,,Angaston,-34.50316,139.04548,Entire home/apt,230,2,44,2025-09-08,1.38,2,299,11,
623438660532088604,"Tanunda Abode - Two BR, Two Bath, Central Location",27555575,Lisa,,Tanunda,-34.52648,138.95387,Entire home/apt,272,2,151,2025-09-12,3.85,1,227,44,
625072901481223153,Gorgeous stone cottage; stay & explore the Barossa,63139941,Charlotte,,Angaston,-34.49903,139.04269,Entire home/apt,203,2,115,2025-06-22,2.86,1,232,18,
637886639776162642,Deluxe Queen Room,461601857,The Wine,,Tanunda,-34.51356,138.97308,Entire home/apt,262,1,18,2024-09-28,0.46,7,353,1,
637906590837702599,Deluxe Twin Room,461601857,The Wine,,Tanunda,-34.51365,138.97128,Entire home/apt,280,1,6,2025-02-15,0.17,7,346,1,
637911090164505078,Double Room,461601857,The Wine,,Tanunda,-34.51401,138.97144,Entire home/apt,283,1,2,2023-04-07,0.06,7,353,0,
637920461053069878,Superior Queen Room,461601857,The Wine,,Tanunda,-34.51574,138.97087,Entire home/apt,290,1,6,2023-04-01,0.16,7,346,0,
637922201318817861,Superior Twin Room,461601857,The Wine,,Tanunda,-34.51353,138.97079,Entire home/apt,295,1,0,,,7,345,0,
637928149292994175,Accessible Room,461601857,The Wine,,Tanunda,-34.51493,138.97129,Entire home/apt,280,1,1,2022-12-07,0.03,7,347,0,
637931106243766297,Family Room,461601857,The Wine,,Tanunda,-34.51392,138.9728,Entire home/apt,325,1,4,2022-12-03,0.10,7,353,0,
642268024740404371,Charming cottage in Angaston,461929112,Marilyn And Adam,,Angaston,-34.50089,139.05253,Entire home/apt,215,2,108,2025-09-18,2.73,1,239,32,
668396960497325094,Yaldara House - House next to a Chateau,460856186,Awesome,,Lyndoch,-34.57561447201368,138.87413956355235,Entire home/apt,842,2,29,2025-09-21,0.78,3,334,8,
674136485566649262,Barossa on Sturt,462115682,Jane,,Angaston,-34.5055,139.04626,Entire home/apt,440,1,36,2025-08-25,0.94,1,350,8,
694004921616356584,Tanunda Main. Book now for a relaxing getaway!,475104337,Vic And Sandi,,Tanunda,-34.52947,138.95115,Entire home/apt,,2,18,2025-04-27,0.54,1,0,7,
699435879787912802,Suite 2- Pirathon Country Estate,475720395,Jane,,Tanunda,-34.5323392,138.9692327,Private room,349,2,1,2025-04-22,0.19,6,322,1,
699435887973595045,Suite 3-Pirathon Country Estate,475720395,Jane,,Tanunda,-34.5323392,138.9692327,Private room,349,2,0,,,6,322,0,
699435892372774485,Suite 4-Pirathon Country Estate,475720395,Jane,,Tanunda,-34.5323392,138.9692327,Private room,349,2,2,2024-11-08,0.18,6,322,2,
699435895050718858,Suite 5-Pirathon Country Estate,475720395,Jane,,Tanunda,-34.5323392,138.9692327,Private room,349,2,1,2024-11-02,0.09,6,321,1,
702031267609659440,Comfy Studio 3 @ Blickinstal Barossa Valley,439331891,Hao,,Bethany,-34.55362,138.97854,Entire home/apt,129,1,12,2024-04-26,0.33,10,165,0,
